"","word","ranges","date","n","Account_age"
"1","sevilla","Group B","2020-08-21",1135,5
"2","jesus","Group B","2020-08-21",847,5
"3","lukaku","Group B","2020-08-21",775,5
"4","europa","Group B","2020-08-21",534,5
"5","league","Group B","2020-08-21",508,5
"6","inter","Group B","2020-08-21",492,5
"7","bsevilla","Group B","2020-08-21",401,5
"8","people","Group B","2020-08-21",325,5
"9","carlos","Group B","2020-08-21",315,5
"10","blukaku","Group B","2020-08-21",282,5
"11","win","Group B","2020-08-21",279,5
"12","goal","Group B","2020-08-21",276,5
"13","jong","Group B","2020-08-21",274,5
"14","final","Group B","2020-08-21",270,5
"15","de","Group B","2020-08-21",246,5
"16","uelfinal","Group B","2020-08-21",245,5
"17","amp","Group B","2020-08-21",244,5
"18","game","Group B","2020-08-21",232,5
"19","diego","Group B","2020-08-21",230,5
"20","bi","Group B","2020-08-21",227,5
"21","jordan","Group B","2020-08-21",215,5
"22","team","Group B","2020-08-21",203,5
"23","xfxfxx","Group B","2020-08-21",198,5
"24","love","Group B","2020-08-21",197,5
"25","time","Group B","2020-08-21",189,5
"26","uel","Group B","2020-08-21",185,5
"27","united","Group B","2020-08-21",176,5
"28","god","Group B","2020-08-21",174,5
"29","christ","Group B","2020-08-21",170,5
"30","season","Group B","2020-08-21",153,5
"31","sevilla","Group C","2020-08-21",1289,6
"32","jesus","Group C","2020-08-21",939,6
"33","lukaku","Group C","2020-08-21",895,6
"34","inter","Group C","2020-08-21",611,6
"35","europa","Group C","2020-08-21",568,6
"36","league","Group C","2020-08-21",537,6
"37","bsevilla","Group C","2020-08-21",455,6
"38","carlos","Group C","2020-08-21",358,6
"39","uelfinal","Group C","2020-08-21",340,6
"40","blukaku","Group C","2020-08-21",333,6
"41","final","Group C","2020-08-21",309,6
"42","jong","Group C","2020-08-21",307,6
"43","goal","Group C","2020-08-21",291,6
"44","people","Group C","2020-08-21",290,6
"45","win","Group C","2020-08-21",283,6
"46","xfxfxx","Group C","2020-08-21",277,6
"47","diego","Group C","2020-08-21",260,6
"48","de","Group C","2020-08-21",257,6
"49","bi","Group C","2020-08-21",255,6
"50","game","Group C","2020-08-21",251,6
"51","amp","Group C","2020-08-21",245,6
"52","jordan","Group C","2020-08-21",242,6
"53","time","Group C","2020-08-21",239,6
"54","uel","Group C","2020-08-21",229,6
"55","united","Group C","2020-08-21",221,6
"56","love","Group C","2020-08-21",194,6
"57","bthis","Group C","2020-08-21",188,6
"58","christ","Group C","2020-08-21",178,6
"59","team","Group C","2020-08-21",177,6
"60","milan","Group C","2020-08-21",165,6
"61","jesus","Group A","2020-08-21",5047,0
"62","sevilla","Group A","2020-08-21",4584,0
