"","sentiment","date","n","name"
"1","anger","2020-08-21",5254,"sevilla"
"2","anticipation","2020-08-21",12418,"sevilla"
"3","disgust","2020-08-21",730,"sevilla"
"4","fear","2020-08-21",1069,"sevilla"
"5","joy","2020-08-21",1822,"sevilla"
"6","negative","2020-08-21",12573,"sevilla"
"7","positive","2020-08-21",16240,"sevilla"
"8","sadness","2020-08-21",72,"sevilla"
"9","surprise","2020-08-21",427,"sevilla"
"10","trust","2020-08-21",2502,"sevilla"
"11","anger","2020-08-21",388," inter milan"
"12","anticipation","2020-08-21",1512," inter milan"
"13","disgust","2020-08-21",23," inter milan"
"14","fear","2020-08-21",47," inter milan"
"15","joy","2020-08-21",68," inter milan"
"16","negative","2020-08-21",4612," inter milan"
"17","positive","2020-08-21",1789," inter milan"
"18","sadness","2020-08-21",2," inter milan"
"19","surprise","2020-08-21",37," inter milan"
"20","trust","2020-08-21",153," inter milan"
