"day","time","date","n","contestant"
"Friday","17 pm",2020-08-21,622,"sevilla"
"Friday","18 pm",2020-08-21,2648,"sevilla"
"Friday","19 pm",2020-08-21,10489,"sevilla"
"Friday","20 pm",2020-08-21,12643,"sevilla"
"Friday","21 pm",2020-08-21,10542,"sevilla"
"Friday","22 pm",2020-08-21,1921,"sevilla"
"Friday","23 pm",2020-08-21,88,"sevilla"
"Friday","17 pm",2020-08-21,142," inter milan"
"Friday","18 pm",2020-08-21,847," inter milan"
"Friday","19 pm",2020-08-21,1438," inter milan"
"Friday","20 pm",2020-08-21,715," inter milan"
"Friday","21 pm",2020-08-21,616," inter milan"
"Friday","22 pm",2020-08-21,157," inter milan"
"Friday","23 pm",2020-08-21,10," inter milan"
"Friday","18 pm",2020-08-21,2,"dora"
"Friday","19 pm",2020-08-21,28,"dora"
"Friday","20 pm",2020-08-21,37,"dora"
"Friday","21 pm",2020-08-21,35,"dora"
"Friday","22 pm",2020-08-21,35,"dora"
"Friday","23 pm",2020-08-21,2,"dora"
