"","value","n"
"1","@sevillafc",2003
"2","@europaleague",1411
"3","@sevillafc_eng",930
"4","@realdonaldtrump",596
"5","@inter",531
"6","@demconvention",505
"7","@joebiden",388
"8","b'@franklin_graham",387
"9","b'@europaleague",362
"10","@inter_en",315
"11","@franklin_graham",287
"12","b'@sevillafc",274
"13","@romelulukaku9",256
"14","b'@pastorlocke",225
"15","b'@goal",219
"16","@luukdejong9",216
"17","@manutd",187
"18","b'@brfootball",184
"19","@youtube'",183
"20","b'@sevillafc_eng",163
"21","b'@kanyewest",154
"22","@change'",147
"23","@netflix",146
"24","@sevillafc'",146
"25","@kanyewest",138
"26","b'@realdonaldtrump",134
"27","b'@inter_en",119
"28","b'@inter",116
"29","@brfootball",114
"30","b'@austinruse",111
