,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
0,llcoolstain,I totally think Nengi and Kidd would make a good couple . Kidd will cheat with her sister while Nengi will cheat with his dad . they're wired like that #BBNaija #BBNaijaLocdown,2020-08-29 23:59:59+00:00,3,11,,#BBNaija #BBNaijaLocdown,
1,JLCPCB,"JLCPCB Prototype For $2/5pcs, 24 Hours Quick Turnaround. Get $23 Coupons For New Customer Free PCB SMT + $24 Coupons Monthly Order Here https://jlcpcb.com/v",2020-08-20 06:31:12+00:00,68,716,,,
2,ZameYdine,The POT calling the Cattle BLACK God of Nengi #BBNaija ,2020-08-29 23:59:59+00:00,0,1,,#BBNaija,
3,Lamaris201010,#BBNaija Oga main chick is for PDA while side chick is in Toilet ......Erica I carry nyash for you oooooo ...Elites let's laugh together ,2020-08-29 23:59:58+00:00,0,33,,#BBNaija,
4,sassyekemini,Are you sure? don't let ozone shippers see you ooo #BBNaija ,2020-08-29 23:59:58+00:00,0,0,,#BBNaija,
5,naijalovergirl1,"Ozo my darling, yes, you deserve trust and self respect. Please, come through with that. Give us bragging rights! #BBNaija",2020-08-29 23:59:58+00:00,0,1,,#BBNaija,
6,naijajigga,I hope Superions eyes have clear now. This una ship no go work...this ship is the reason I left. #BBNaija,2020-08-29 23:59:57+00:00,0,0,,#BBNaija,
7,Kaf_ui,"You cannot have fun or ""create content"" at someone else's expense.. she messed up, yea she messed up.. call a spade a spade.. #BBNaija",2020-08-29 23:59:57+00:00,0,2,,#BBNaija,
8,Jemimz8,"Nengi didn’t do anything wrong , she is cool with everybody and Kidd is a free person that can be extra sometimes but I’m sure he won’t do something to hurt OZO knowing he is with Nengi ,but OZO is over analyzing it cos it was kidd he saw wit her and cos of his feelings #BBNaija",2020-08-29 23:59:56+00:00,1,8,,#BBNaija,
9,meloswt,Did Neo just say “Kidd you look like you’ve had six rounds of sex??” Kidd and Nengi! #BBNaija,2020-08-29 23:59:56+00:00,0,7,,#BBNaija,
10,ThatoM04798900,I am happy nengi is flirting with akidd in front of neo... I still remember how neo wanted the ship to sail soo bad. Blaming ozo for not giving nengi attention...i just feel bad for ozo but anyway they are just friends. #BBNaija,2020-08-29 23:59:55+00:00,0,2,,#BBNaija,
